1;Luís Gonçalves;Brazil;Acústico MTV;Os Paralamas Do Sucesso;Vamo Batê Lata;Latin
1;Luís Gonçalves;Brazil;Acústico MTV [Live];Cidade Negra;A Cor Do Sol;Reggae
1;Luís Gonçalves;Brazil;Acústico MTV [Live];Cidade Negra;Podes Crer;Reggae
1;Luís Gonçalves;Brazil;Afrociberdelia;Chico Science & Nação Zumbi;Interlude Zumbi;Latin
1;Luís Gonçalves;Brazil;Appetite for Destruction;Guns N' Roses;Rocket Queen;Rock
1;Luís Gonçalves;Brazil;Appetite for Destruction;Guns N' Roses;Think About You;Rock
1;Luís Gonçalves;Brazil;Arquivo II;Os Paralamas Do Sucesso;Mensagen De Amor (2000);Latin
1;Luís Gonçalves;Brazil;Arquivo II;Os Paralamas Do Sucesso;Saber Amar;Latin
1;Luís Gonçalves;Brazil;Arquivo Os Paralamas Do Sucesso;Os Paralamas Do Sucesso;Cinema Mudo;Latin
1;Luís Gonçalves;Brazil;Arquivo Os Paralamas Do Sucesso;Os Paralamas Do Sucesso;Meu Erro;Latin
1;Luís Gonçalves;Brazil;Arquivo Os Paralamas Do Sucesso;Os Paralamas Do Sucesso;Será Que Vai Chover?;Latin
1;Luís Gonçalves;Brazil;Axé Bahia 2001;Various Artists;Reggae Tchan;Pop
1;Luís Gonçalves;Brazil;Axé Bahia 2001;Various Artists;TriboTchan;Pop
1;Luís Gonçalves;Brazil;Battlestar Galactica (Classic), Season 1;Battlestar Galactica (Classic);Experiment In Terra;Sci Fi & Fantasy
1;Luís Gonçalves;Brazil;Battlestar Galactica (Classic), Season 1;Battlestar Galactica (Classic);Take the Celestra;Sci Fi & Fantasy
1;Luís Gonçalves;Brazil;BBC Sessions [Disc 1] [Live];Led Zeppelin;Communication Breakdown(2);Rock
1;Luís Gonçalves;Brazil;Bongo Fury;Frank Zappa & Captain Beefheart;Carolina Hard-Core Ecstasy;Rock
1;Luís Gonçalves;Brazil;Carnaval 2001;Various Artists;Ipiranga 2001;Soundtrack
1;Luís Gonçalves;Brazil;Carnaval 2001;Various Artists;X-9 2001;Soundtrack
1;Luís Gonçalves;Brazil;Chill: Brazil (Disc 1);Marcos Valle;Água de Beber;Latin
1;Luís Gonçalves;Brazil;Cidade Negra - Hits;Cidade Negra;Doutor;Reggae
1;Luís Gonçalves;Brazil;Da Lama Ao Caos;Chico Science & Nação Zumbi;Lixo Do Mangue;Latin
1;Luís Gonçalves;Brazil;Da Lama Ao Caos;Chico Science & Nação Zumbi;Rios Pontes & Overdrives;Latin
1;Luís Gonçalves;Brazil;Greatest Kiss;Kiss;Calling Dr. Love;Rock
1;Luís Gonçalves;Brazil;Greatest Kiss;Kiss;Cold Gin;Rock
1;Luís Gonçalves;Brazil;Greatest Kiss;Kiss;Shout It Out Loud;Rock
1;Luís Gonçalves;Brazil;Greatest Kiss;Kiss;Strutter;Rock
1;Luís Gonçalves;Brazil;Na Pista;Cláudio Zoli;Linha Do Equador;Latin
1;Luís Gonçalves;Brazil;No More Tears (Remastered);Ozzy Osbourne;Mama, I'm Coming Home;Rock
1;Luís Gonçalves;Brazil;Rattle And Hum;U2;All Along The Watchtower;Rock
1;Luís Gonçalves;Brazil;Sibelius: Finlandia;Berliner Philharmoniker & Hans Rosbaud;Karelia Suite, Op.11: 2. Ballade (Tempo Di Menuetto);Classical
1;Luís Gonçalves;Brazil;The World of Classical Favourites;Academy of St. Martin in the Fields & Sir Neville Marriner;Fantasia On Greensleeves;Classical
1;Luís Gonçalves;Brazil;Tribute;Ozzy Osbourne;Flying High Again;Metal
1;Luís Gonçalves;Brazil;Tribute;Ozzy Osbourne;Paranoid;Metal
1;Luís Gonçalves;Brazil;Use Your Illusion I;Guns N' Roses;Back off Bitch;Rock
1;Luís Gonçalves;Brazil;Use Your Illusion I;Guns N' Roses;Coma;Rock
1;Luís Gonçalves;Brazil;Use Your Illusion I;Guns N' Roses;Don't Cry (Original);Rock
1;Luís Gonçalves;Brazil;Use Your Illusion I;Guns N' Roses;Garden of Eden;Rock
2;Leonie Köhler;Germany;Axé Bahia 2001;Various Artists;Lavadeira;Pop
2;Leonie Köhler;Germany;Balls to the Wall;Accept;Balls to the Wall;Rock
2;Leonie Köhler;Germany;BBC Sessions [Disc 1] [Live];Led Zeppelin;Dazed and Confused;Rock
2;Leonie Köhler;Germany;BBC Sessions [Disc 1] [Live];Led Zeppelin;You Shook Me(2);Rock
